identificador|identificador_original|nome|identificador_situacao|tipo_padrao
ba2d8673aef57cb0e605192b81103a15d571d82bd1b044b317da210d45d49aa8|ATIVO|ATIVO|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b|False
f673374b42fdcb312189d72aa165528262e38a3549832b622a85fea571e7ab8d|SEM ATIVIDADES|SEM ATIVIDADES|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b|False
0a226bfc90e57d5ee5cd9360bc140b25eb30e3ce8ff2201f501120db600edde8|AUTORIZADO|AUTORIZADO|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b|False
40a3b8654f73c8b09996512ce599cbf15555c5cce730e20f3bdee2a62dee9dfb|ADMINISTRAÇÃO ESPECIAL - LIQUIDAÇÃO|ADMINISTRAÇÃO ESPECIAL - LIQUIDAÇÃO|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b|False
c60f37b7b5a28800a6cb3f2121fd3fb254b5f27b40f17efec923e83c4e2a2d60|LIQUIDAÇÃO|LIQUIDAÇÃO|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b|False
b6ecd5b2ccabf2914ac8972a8aff7c6b67e5e9a0a46096f800d710447cca0a54|ANALISADO|ANALISADO|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b|False
325d4820bd97911f33f8e7da348c901dd19f1df9c5d9b3b62d2adc2447dae2d6|ENCERRADO|ENCERRADO|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b|False
4d0c49e8eab111ed78891f9de9ef7a25cff2a4d982d2f32b730a50cda3e80eef|Não Informado|Não Informado|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b|False
