identificador|identificador_original|tipo_padrao|nome|identificador_situacao
9aedd41f3885beb8936ee97bf5f2e9ce4c93884c0582ce8896f74fd88a767823|Cancelado|False|Cancelado|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
7fc133b6968257ce00df2993368da9c3f58fba409047dba6538427e2a5517ee5|Autopatrocinado|False|Autopatrocinado|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
07bb661efa895dde1dfa88da21f663f6e4c469fa288f69801274c17044f7034c|Contribuinte|False|Contribuinte|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
81c70d479bf4e69f78ede26a30f056210928a7caf24fa635bc967ea7d3a318e0|Assistido|False|Assistido|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
8c9c6ecbc0397d98d31e1c3ffddf53cfd7fdd8b43ceb4c3d921ef3866b4b3a30|Aguardando Benefício|False|Aguardando Benefício|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
17964105663b1ca9aeb799273da60e17c05bd63e427142f0c4ec260ad61c9b61|Aguardando Opção|False|Aguardando Opção|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
078f8f13a8f00be4b8b316183232b8126465a057029f49ccda99eda04a3683f9|Desligado|False|Desligado|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
