identificador|identificador_original|nome|identificador_situacao|tipo_padrao
f9e4a6b29c34c87a327e7bd626d6015bb36e982b6afe3d3727b1b1431ef59530|Contribuição Definida|Contribuição Definida|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b|False
dc2f3386950e7146611a8719fd7fe82094231a173afc180cf11d0429441e9a57|Benefício Definido|Benefício Definido|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b|False
7875a8450fe9fef2e4b69d2f2787b9aa3c2e22b806f0e5a95f3e6589eaaf318e|Contribuição Variável|Contribuição Variável|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b|False
